input_name,species,lat,lon,year,country
Dracaena trifasciata,Dracaena trifasciata,-25.442862,-49.238088,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,5.464217,10.086758,2025.0,Cameroon
Dracaena trifasciata,Dracaena trifasciata,23.131405,-82.394646,2025.0,Cuba
Dracaena trifasciata,Dracaena trifasciata,27.868518,-82.627797,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,-25.426005,-49.354536,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-27.55321,153.068334,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,28.904713,79.79325,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-22.702488,-43.434962,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,30.343814,78.109618,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,28.947833,79.795681,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,7.485408,125.83784,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,18.865347,-99.654008,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,17.751625,-88.654098,2025.0,Belize
Dracaena trifasciata,Dracaena trifasciata,11.95605,8.542417,2025.0,Nigeria
Dracaena trifasciata,Dracaena trifasciata,-22.642454,-43.932608,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,26.914639,75.731986,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,7.512115,125.837334,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,15.405348,73.794243,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,16.856282,74.560902,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,17.340908,78.437358,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-7.707939,109.9388,2025.0,Indonesia
Dracaena trifasciata,Dracaena trifasciata,7.480547,125.80532,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,8.62656,76.902214,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,3.697961,-73.695986,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,-22.968465,-42.016173,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,6.935945,126.257458,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-25.831728,32.624698,2025.0,Mozambique
Dracaena trifasciata,Dracaena trifasciata,6.497396,124.847163,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,3.764907,101.859406,2025.0,Malaysia
Dracaena trifasciata,Dracaena trifasciata,13.145003,-59.616486,2025.0,Barbados
Dracaena trifasciata,Dracaena trifasciata,-25.79059,28.245615,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,7.44758,125.802067,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,3.152161,-75.049711,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,-24.744461,-50.000936,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,15.385456,74.003199,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,22.092354,120.893824,2025.0,Chinese Taipei
Dracaena trifasciata,Dracaena trifasciata,14.657397,-90.542351,2025.0,Guatemala
